Sample,Trigger,burst/period_cnt,burst/FIBER_AOM_TTL_tem,burst/TTL_tem,core/lock,burst/state,burst/bst_cnt,core/BST_NUM,burst/BST_NUM_reg,core/BST_PERIOD,burst/BST_PERIOD_reg
0,0,0000000000001100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
1,0,0000000000001101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
2,0,0000000000001101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
3,0,0000000000001101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
4,0,0000000000001110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5,0,0000000000001110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
6,0,0000000000001110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
7,0,0000000000001111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
8,0,0000000000001111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
9,0,0000000000001111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
10,0,0000000000010000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
11,0,0000000000010000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
12,0,0000000000010001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
13,0,0000000000010001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
14,0,0000000000010001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
15,0,0000000000010010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
16,0,0000000000010010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
17,0,0000000000010010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
18,0,0000000000010011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
19,0,0000000000010011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
20,0,0000000000010011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
21,0,0000000000010100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
22,0,0000000000010100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
23,0,0000000000010101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
24,0,0000000000010101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
25,0,0000000000010101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
26,0,0000000000010110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
27,0,0000000000010110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
28,0,0000000000010110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
29,0,0000000000010111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
30,0,0000000000010111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
31,0,0000000000010111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
32,0,0000000000011000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
33,0,0000000000011000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
34,0,0000000000011001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
35,0,0000000000011001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
36,0,0000000000011001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
37,0,0000000000011010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
38,0,0000000000011010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
39,0,0000000000011010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
40,0,0000000000011011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
41,0,0000000000011011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
42,0,0000000000011011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
43,0,0000000000011100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
44,0,0000000000011100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
45,0,0000000000011101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
46,0,0000000000011101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
47,0,0000000000011101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
48,0,0000000000011110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
49,0,0000000000011110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
50,0,0000000000011110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
51,0,0000000000011111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
52,0,0000000000011111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
53,0,0000000000011111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
54,0,0000000000100000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
55,0,0000000000100000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
56,0,0000000000100001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
57,0,0000000000100001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
58,0,0000000000100001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
59,0,0000000000100010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
60,0,0000000000100010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
